tweet_id,text,custom_intent
1434357,@AppleSupport hey guys you getting many reports of iTunes update being buggy?! #help,device_software_issue
599072,6 attempts to change my Apple account password and getting absolutely nowhere ... “password change successful” but still can’t sign in? 👍🏻 @AppleSupport,account_access
1001138,@AppleSupport 6.5 and yes v11.0.3,payment_billing
2354974,@AppleSupport It is. I’m on the fanciest business plan our friends at @115911 have to offer.,refund_request
877133,@AppleSupport Various lags that are new but mainly Facebook messenger doesn’t open some message threads when pressed. Just highlights in grey. Any idea?,purchase_order
1010497,@AppleSupport Did that. Still the same.,general_information
1352247,@AppleSupport Keep getting this on Facebook. https://t.co/fpp93cikPj,device_software_issue
32414,@AppleSupport I keep getting a question mark inside a box?? I️ updated my phone and it’s still doing it. 🤦🏽‍♀️,payment_billing
1272418,"@AppleSupport Not quite sure what you need. Standard iPad plug, standard Apple cable, plugged into an iPad Air 2. It's melted &amp; set carpet on fire",refund_request
1760277,@AppleSupport @529803 Bet you didn't expect a reply to your vulgarity now did you Kevin. Be better.,account_access
1693438,@AppleSupport - dear MAC love the iPhone but I cannot get my head around your bloody computer!!!’ Aaarrrggghhh! Can’t find the app!,general_information
766230,"Hating #iphone6 after OS update. Hangs, shivers, gulps battery, troublin internet. @AppleSupport help? Or u want to sell #iPhone8 only!",purchase_order
1596730,@AppleSupport I just saw the 11.1 update. So far it has extinguished the glitches. 😊Ty for your rapid response!,device_software_issue
2625689,"New iPhone updated deleted all my songs off my phone, awesome @115858 @AppleSupport and I’m pretty sure the battery is worse now",device_software_issue
4884,@AppleSupport It,device_software_issue
300120,"@AppleSupport Yes, it is",device_software_issue
1563957,@AppleSupport Nevermind that didn’t work either 🤦🏽‍♀️🙄,device_software_issue
2838625,@AppleSupport iPhone 6S and I’m on iOS 11.1.2,device_software_issue
1400688,@AppleSupport I am literally just trying to update my phone I don’t know what this means https://t.co/jCA5MLqLBz,device_software_issue
619355,"@AppleSupport purchasing iphone 7plus makes me regret like anything! Its just a month and there is hardware issue,also a spare iphone 6 is provided!eta is 14 days?? Disappointed like anything!job number - 111363",purchase_order
552182,"@AppleSupport wollte heute einen gekauften Song auf meinen Computer runterladen und kriege diese Meldungen, ich benutze meine AppleIDschon immer nur mit diesem PC und meinem iPhone, wie behebe ich das Problem? https://t.co/fRy75SGkSi",account_access
2445228,@AppleSupport how can I️ get rid of the A boxed ? For I️,device_software_issue
1656598,@AppleSupport @505505 NO. FIX IT NOW APPLE WTF.,device_software_issue
1337306,@AppleSupport after I hit the checkout button I got this Cit One message about not knowing if I'm approved. Is my phone preordered or not?,purchase_order
845812,@AppleSupport if I would purchase an iPhone in the US w Applecare+ and take it back home to Netherlands. Do I then have warranty/support?,general_information
993358,@AppleSupport HELP! I have made an accidental in app purchase. Can I cancel? It asked for my Touch ID and I though I was unlocking!,refund_request
61293,"@AppleSupport I've tried to update on my computer it stated that I can't do because of some error, it takes about 2 hours. No matter how times I try I see an error message",device_software_issue
1930365,"@AppleSupport Ordered my #iPhoneX but got the message: ""When we’re able to reach the carrier systems we will email you."" What does it mean?",general_information
2229436,"@AppleSupport Apps jumping about, phone freezing, turns itself off with 10% remaining. Latest software update bad. Or r u trying 2 get me 2 upgrade phone?",device_software_issue
2117143,@AppleSupport hey hey not too bad for my good old IPhone 6plus refurb 📱 it only took 51 screenshots when I was trying to use it for work 😖😤😡 https://t.co/yUUmPQ7TMx,device_software_issue
1015697,"@AppleSupport that didn’t really help cuz whenever I turn off the WiFi in my COMMAND CENTER, it just turns back on whenever it wants",device_software_issue
1837801,"@115858 @AppleSupport can you all replace the battery in my iphone, i dont think im buying another one.. i love my 7 plus",device_software_issue
199362,@AppleSupport Did a reset to factory default and still lost. Booked in at Vodacom and it's going to come out my insurance. I'll be eligible for excess.,general_information
1192996,Hey @AppleSupport. What’s up with iOS 11 not locking our phone screens?,device_software_issue
427094,@216584 @AppleSupport What phone do you have?,device_software_issue
1005227,@AppleSupport desde el jueves sin teléfono pq no se aclaran con las incidencias,device_software_issue
2076165,My battery percentage is going down instead of increasing anyone know what I can do I have the iPhone 8+ #apple @115858 @AppleSupport #iPhone8Plus #iPhone8,device_software_issue
2005161,What’s up with the i on my phone lol y’all just gonna force me to update huh @AppleSupport,device_software_issue
11999,@AppleSupport @118360 Saturday.,purchase_order
1818064,@AppleSupport fix your stupid updates my alarm didn’t go off because my volume was down??? Blato not p.s SICK OF MY PHONE FREEZING☹️,device_software_issue
2350795,Face ID failure. Little Sister can unlock the phone 🤦🏾‍♀️😂 #apple #iphoneX #FaceID @AppleSupport https://t.co/jwif9cIHRy,device_software_issue
1776384,@AppleSupport No. There’s no pattern. Issue started when updated my phone,general_information
842527,@AppleSupport Hi. My music on my iPhone is assuming I need applemusic to play even though all the songs I have downloaded and paid for?,device_software_issue
2185373,Hey @AppleSupport how can I do a 245 calorie workout but only have 226 calories in my move ring?? This has been the case since updating the watch last week.  😤 https://t.co/EGQFUu7dpK,device_software_issue
2400387,@AppleSupport Have done so thanks,device_software_issue
2367755,@AppleSupport @683377 LOL,device_software_issue
387235,"I paid 800$ for this #AppleIphone 7 and here it is , colour fading @115858 @116333 @AppleSupport https://t.co/KLwgNh1oGB",device_software_issue
557914,Just downloaded 11.2 @AppleSupport and I don’t see the  Pay in the iMessage app drawer. Any help?,device_software_issue
859778,"@AppleSupport Thank u for ur reply, but it’s none of this. Happens since iOS11, can’t hear absolutely nothing at all on both ends. Even with iOS 11.0.3...",general_information
858931,"Seems a #bug on #iOS 11.0.2, unread SMS message will keep on notifying once you power off and turn on your #iPhone @AppleSupport",device_software_issue
941075,@AppleSupport Apps won’t download or update. https://t.co/AwHUAuSy10,device_software_issue
1164643,@AppleSupport ever since the latest iOS update my iPhone 7 repeatedly crashes/freezes &amp; there’s no sound on phone calls. Will this be fixed?,payment_billing
483248,@AppleSupport hi! Any idea why my November Challenge achievement has disappeared even though I beat the target? 😔 https://t.co/7kLx8gCTn7,device_software_issue
569240,@164580 @253581 @AppleSupport For real,general_information
2255324,@AppleSupport still seeing boxes https://t.co/vjyNhCBPlw,device_software_issue
633831,@AppleSupport Hi. I’m trying to install macOS High Sierra but the progress bar has been stuck for over half an hour now. I’ve tried cancelling and re-installing a couple of times but it always gets stuck somewhere through the process. What should I do!!! Please help me it’s so frustrating! :) https://t.co/mEDsJTklqV,device_software_issue
704566,"@AppleSupport Hi thank you, but the problem was resolved in your software update. Have a nice day!",purchase_order
596847,@115858 @AppleSupport @115948 I updated my phone and now Apple Music doesn’t work 😡,account_access
151415,"@AppleSupport hello apple, i got a e-mail but i think its fake can you help me? https://t.co/JlIKNYnj6Y",device_software_issue
738538,@AppleSupport ay I keep pressing “verify apps” on this developer and it’s not working (1),device_software_issue
