tweet_id,message,intent,decision,draft_reply,human_groundedness,human_helpfulness,human_tone,human_conciseness,human_overall,judge_groundedness,judge_helpfulness,judge_tone,judge_conciseness,judge_overall
1605541,Yo @AppleSupport why is this happening? https://t.co/mw1xmU2BAC,general_information,auto_handle,"@user We're here for you. Send us a DM with more details about what you're experiencing, and we'll take a closer look. https://t.co/GDrqU22YpT",,,,,3.0,5,4,5,5,5
2801504,hey @AppleSupport literally when will my phone stop making I.T look like I.T can you please send out an update already I.T is ridiculous,device_software_issue,auto_handle,"@696989 If you haven't yet, please back up your device and update to the latest software. For more info, check out: https://t.co/4f8hwTn4fE",,,,,4.0,5,5,5,5,5
2779309,"@AppleSupport How to solve some. Sorry, but I will not get into that site.",general_information,auto_handle,@776311 We'd love to help! Can you share a bit more about what you need assistance with so we can point you in the right direction?,,,,,3.0,5,4,5,5,5
2187688,"@AppleSupport now update is not showing nor installing any application 😡 
#ios11 #iphone5s #Cellular https://t.co/xHgkxfIF7O",device_software_issue,auto_handle,"Let's look into this together. Send us a DM with more details about what you're seeing, and we'll take a closer look. https://t.co/GDrqU22YpT",,,,,5.0,5,4,5,5,5
2354974,@AppleSupport It is. I’m on the fanciest business plan our friends at @115911 have to offer.,general_information,auto_handle,@386460 We're here to help. Send us a DM and we'll take a closer look together. https://t.co/GDrqU22YpT,,,,,4.0,5,4,5,5,5
755767,@300641 @AppleSupport If you put each on on your phone at the times you need them too But i dont own a watch yet. I just use the reminders on the phone or alarms,general_information,auto_handle,@300641 We'd love to help you get the most out of your reminders and alarms. Send us a DM and we can look into this together. https://t.co/GDrqU22YpT,,,,,4.0,4,2,4,3,3
257771,@AppleSupport Ever since I updated my phone to the new iOS. My phone would randomly restart again.,device_software_issue,auto_handle,@177321 We can help look into this with you. Which iPhone are you using? Send us a DM and we'll continue there: https://t.co/GDrqU22YpT,,,,,5.0,5,5,5,5,5
557784,@AppleSupport fix my I.T please https://t.co/XdHLEyDi4W,device_software_issue,auto_handle,@641935 Thanks for reaching out! We'd love to help get this sorted out with your software. Send us a DM and we'll take a closer look: https://t.co/GDrqU22YpT,,,,,3.0,5,5,5,5,5
206469,"@AppleSupport when i try to airdrop pictures from my macbook air to iphone 7, the mac doesn’t detect my phone. i made sure bluetooth/airdrop/etc was on.",device_software_issue,auto_handle,@164888 We'd be happy to look into this with you. Can you provide us the macOS and iOS version you're using?,,,,,5.0,5,4,5,5,5
1445585,"@AppleSupport I use the regular keyboard, I think.  I have not downloaded iOS 11.1.  Will that fix it?",device_software_issue,auto_handle,"@455451 Let's follow this article to backup, then update to 11.1 and try this again: https://t.co/80YRnjDFDk",,,,,3.0,4,4,4,5,4
1507025,@AppleSupport con la última actualización falla mucho la cámara y constantemente se traba mi #iPhone7 😭,device_software_issue,auto_handle,@469761 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,,,4.0,5,3,4,5,4
2747327,"Help me pls, my back camera isn’t working and neithers my torch, FaceTime and stuff won’t work either !!!? Everything else on my phone is fine? @AppleSupport",device_software_issue,auto_handle,@193829 We'd love to help with this. Which iPhone and iOS version are you using? Send us a DM so we can look into it together. https://t.co/GDrqU22YpT,,,,,4.0,5,4,5,5,5
2900428,@AppleSupport Can you send over the iPhone X,purchase_order,auto_handle,We'd love to help you get set up with a new iPhone. Send us a DM to explore your options. https://t.co/GDrqU22YpT,,,,,5.0,5,5,5,5,5
483248,@AppleSupport hi! Any idea why my November Challenge achievement has disappeared even though I beat the target? 😔 https://t.co/7kLx8gCTn7,device_software_issue,auto_handle,Congrats on beating your goal! That was a lot of hard work. 🌟 Achievements can take up to 9 days to appear on your iOS device after completing the challenge. You can find more info here: https://t.co/xwf6lrIgzJ,,,,,5.0,5,5,5,5,5
1656598,@AppleSupport @505505 NO. FIX IT NOW APPLE WTF.,general_information,auto_handle,@505505 We're here to help. Please send us a DM so we can look into this together. https://t.co/GDrqU22YpT,,,,,5.0,5,5,5,5,5
2350749,@AppleSupport iOS 11 ruined my phone I demand something be done,device_software_issue,auto_handle,@679434 We're here to help. Could you provide us with some details about what you're experiencing?,,,,,5.0,5,5,5,5,5
629695,Can @AppleSupport fix the issue where my messages add random b’s with the next update? Thanks!,device_software_issue,auto_handle,@269171 We'd love to help look into this software issue with you. Send us a DM to get started: https://t.co/GDrqU22YpT,,,,,5.0,5,5,5,5,5
